,TransactionID,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo
125487,3488626,-20.0,184193.0,0.0,-5.0,-2.0,-100.0,,,0.0,-5.0,100.0,NotFound,64.0,,Found,Found,225.0,15.0,266.0,595.0,,,,,,,,Found,Found,,mobile safari generic,,,,F,F,T,F,mobile,
37053,3079048,-50.0,273684.0,,,0.0,0.0,,,,,100.0,NotFound,13.0,,New,NotFound,225.0,,427.0,507.0,,,,,,,,New,NotFound,,chrome 63.0,,,,F,F,T,T,desktop,
140176,3555390,-5.0,121918.0,,,6.0,-9.0,,,,,100.0,NotFound,52.0,-420.0,New,NotFound,166.0,12.0,410.0,350.0,,,,,,,,New,NotFound,Windows 7,firefox 59.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
142097,3565656,-15.0,,,,,,,,,,,NotFound,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3948,3003904,-5.0,112861.0,0.0,0.0,0.0,-11.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,176.0,507.0,,,,,,,,Found,Found,,chrome 61.0,,,,F,F,T,T,desktop,
20305,3045909,0.0,117081.0,3.0,0.0,9.0,0.0,,,3.0,0.0,100.0,NotFound,,-300.0,Found,Found,166.0,12.0,410.0,178.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,1366x768,match_status:2,T,T,T,T,desktop,Trident/7.0
81482,3250219,-5.0,102862.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,49.0,-300.0,Found,Found,166.0,,487.0,600.0,,,,,,,,Found,Found,iOS 11.2.5,mobile safari generic,32.0,2208x1242,match_status:1,T,F,F,F,mobile,iOS Device
128084,3504934,-5.0,139393.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,,100.0,501.0,,,,,,,,New,NotFound,iOS 11.2.6,mobile safari generic,32.0,2048x1536,match_status:1,T,F,F,T,mobile,iOS Device
37913,3080500,-5.0,239678.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,,529.0,161.0,,,,,,,,Found,Found,Windows 10,chrome 62.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
94663,3325225,-20.0,465778.0,,,6.0,-11.0,,,,,100.0,NotFound,33.0,,Unknown,,225.0,15.0,567.0,507.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
57139,3118011,-5.0,105256.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,305.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,Windows
89812,3291244,-5.0,402188.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,649.0,305.0,,,,,,,,New,NotFound,,chrome 64.0,,,,F,F,T,F,desktop,Windows
141595,3563163,-5.0,146859.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,153.0,566.0,,,,,,,,New,NotFound,,edge 15.0,,,,F,F,T,F,desktop,Windows
98453,3348021,0.0,43700.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,,-300.0,Found,Found,166.0,,529.0,161.0,,,,,,,,Found,Found,Android 7.0,chrome 64.0 for android,24.0,1280x720,match_status:2,T,F,T,T,mobile,SM-J727P
112370,3415051,-5.0,480176.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,64.0,,Found,Found,225.0,,266.0,325.0,,,,,,,,Found,Found,,chrome 65.0 for android,,,,F,F,T,F,mobile,Blade V6 Plus Build/MRA58K
95074,3328010,-10.0,100608.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,15.0,427.0,507.0,,,,,,,,Found,Found,,chrome 64.0,,,,F,F,T,F,desktop,
47833,3097635,-10.0,160100.0,,,0.0,0.0,,,,,100.0,Found,49.0,0.0,New,NotFound,121.0,,410.0,142.0,,,,,,,,New,NotFound,iOS 11.2.1,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,F,F,mobile,iOS Device
128848,3509035,-5.0,392560.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,,New,NotFound,225.0,,153.0,325.0,,,,,,,,New,NotFound,,chrome 66.0 for android,,,,F,F,T,F,mobile,LG-K200 Build/MXB48T
8731,3018047,-5.0,431269.0,1.0,0.0,1.0,0.0,,,1.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,15.0,266.0,340.0,,,,,,,,Found,Found,,chrome 62.0,,,,F,F,T,T,desktop,Windows
44868,3092994,-5.0,437913.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-360.0,Found,NotFound,166.0,,215.0,484.0,,,,,,,,Found,NotFound,Windows 10,chrome 63.0,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
102903,3370229,-5.0,105388.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,427.0,305.0,,,,,,,,New,NotFound,,chrome generic,,,,F,F,T,F,desktop,Windows
38210,3081007,-5.0,246365.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,15.0,100.0,489.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,,match_status:2,T,F,T,T,desktop,Trident/7.0
103850,3375299,-5.0,131733.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,153.0,563.0,,,,,,,,Found,Found,,chrome 64.0,,,,F,F,T,F,desktop,Windows
73579,3206406,-25.0,339237.0,,,1.0,0.0,,,0.0,0.0,95.16000366210938,NotFound,49.0,,Unknown,,225.0,,427.0,325.0,,,,,,,,Found,Found,,safari generic,,,,F,F,F,F,desktop,
9388,3019868,0.0,68643.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,,-300.0,Found,Found,166.0,,215.0,368.0,,,,,,,,Found,Found,Windows Vista,chrome 49.0,24.0,1440x900,match_status:2,T,T,T,T,desktop,Windows
30671,3067244,-5.0,265033.0,0.0,0.0,2.0,-25.0,,,0.0,0.0,100.0,NotFound,49.0,,Found,Found,225.0,15.0,266.0,563.0,,,,,,,,Found,Found,,other,,,,F,F,T,F,mobile,SAMSUNG SM-G530H Build/LRX22G
73791,3207556,-5.0,237059.0,0.0,0.0,-4.0,-26.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,121.0,,410.0,274.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,F,desktop,Windows
51213,3102145,0.0,209129.0,,,0.0,0.0,,,,,100.0,NotFound,,,New,NotFound,225.0,,427.0,507.0,,,,,,,,New,NotFound,,chrome 63.0 for android,,,,F,F,T,T,mobile,LG-K580 Build/MRA58K
74384,3210993,-20.0,505424.0,,,10.0,-29.0,,,,,100.0,NotFound,49.0,,Unknown,,225.0,15.0,266.0,563.0,,,,,,,,New,NotFound,,mobile safari 11.0,,,,F,F,F,F,mobile,
111560,3409196,-20.0,145624.0,,,0.0,-5.0,,,0.0,0.0,95.16000366210938,NotFound,64.0,,Unknown,,225.0,15.0,176.0,507.0,,,,,,,,Found,Found,,safari generic,,,,F,F,F,F,desktop,
66585,3165878,-10.0,120265.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,427.0,411.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,F,desktop,Windows
89564,3289909,-45.0,686903.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,266.0,507.0,,,,,,,,Found,Found,,chrome generic,,,,F,F,T,F,desktop,CHC-U03 Build/HuaweiCHC-U03
30012,3065934,-60.0,290601.0,0.0,0.0,2.0,-5.0,,,0.0,0.0,100.0,Found,52.0,,Found,Found,166.0,13.0,216.0,214.0,,,,,,,,Found,Found,,ie 11.0 for desktop,,,,F,F,T,T,desktop,rv:11.0
107838,3391754,-35.0,104057.0,,,0.0,0.0,,,0.0,0.0,95.08000183105467,NotFound,62.0,,Unknown,,225.0,,271.0,507.0,,,,,,,,Found,Found,,edge 16.0,,,,F,F,F,F,desktop,Windows
121560,3465656,-25.0,176254.0,,,14.0,-31.0,13.0,-49.0,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,12.0,317.0,549.0,252.0,14.0,IP_PROXY:TRANSPARENT,11.0,321.0,184.0,Found,New,NotFound,iOS 11.1.1,mobile safari generic,32.0,1334x750,match_status:1,T,F,F,F,mobile,iOS Device
7925,3015645,-5.0,102628.0,,,,,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,454.0,600.0,,,,,,,,New,NotFound,Windows 10,chrome 62.0,24.0,1440x900,match_status:2,T,F,T,T,desktop,Windows
143298,3572436,-5.0,230908.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,612.0,,,,,,,,Found,Found,,chrome 66.0,,,,F,F,T,F,desktop,Windows
132778,3525449,-5.0,512353.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,64.0,-360.0,Found,Found,166.0,,215.0,100.0,,,,,,,,Found,Found,iOS 11.3.0,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,T,F,mobile,iOS Device
136119,3538852,-5.0,99624.0,0.0,0.0,-7.0,-9.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,427.0,507.0,,,,,,,,Found,Found,,chrome 66.0,,,,F,F,T,F,desktop,Windows
125664,3489874,-5.0,121347.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-360.0,New,NotFound,166.0,,312.0,215.0,,,,,,,,New,NotFound,iOS 11.3.0,mobile safari generic,32.0,2436x1125,match_status:1,T,F,T,F,mobile,iOS Device
45377,3093818,-5.0,205506.0,,,2.0,-4.0,,,,,100.0,NotFound,49.0,-360.0,New,NotFound,166.0,13.0,352.0,146.0,,,,,,,,New,NotFound,iOS 11.2.1,mobile safari 11.0,32.0,1136x640,match_status:1,T,F,F,F,mobile,iOS Device
103546,3373924,-20.0,127798.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,122.0,,,,,,,,Found,Found,,firefox 59.0,,,,F,F,T,F,desktop,rv:59.0
117613,3444033,-50.0,2249.0,0.0,0.0,,,15.0,-10.0,0.0,0.0,100.0,Found,54.0,-300.0,Found,Found,,,,,576.0,14.0,IP_PROXY:HIDDEN,15.0,505.0,102.0,Found,Found,Found,Android,chrome 65.0,24.0,1280x720,match_status:2,T,F,T,T,mobile,
101836,3364255,-5.0,941.0,0.0,0.0,1.0,0.0,,,0.0,0.0,100.0,Found,52.0,-360.0,Found,Found,166.0,13.0,306.0,146.0,,,,,,,,Found,Found,Windows 10,edge 16.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
43569,3090719,-5.0,81906.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,563.0,,,,,,,,Found,Found,,firefox 57.0,,,,F,F,T,T,desktop,Windows
49945,3100434,-5.0,95500.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,15.0,214.0,107.0,,,,,,,,New,NotFound,Windows 7,chrome 63.0,24.0,1600x900,match_status:2,T,F,T,F,desktop,Windows
112757,3417416,-15.0,,,,,,,,,,,NotFound,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8852,3018465,0.0,30393.0,,,0.0,0.0,,,,,100.0,NotFound,,-480.0,New,NotFound,166.0,,215.0,222.0,,,,,,,,New,NotFound,Mac OS X 10_10_5,safari generic,24.0,1920x1080,match_status:2,T,F,T,T,desktop,MacOS
16334,3036742,-15.0,145119.0,,,,,13.0,-30.0,0.0,0.0,91.33999633789062,NotFound,52.0,,New,NotFound,,,,,256.0,41.0,IP_PROXY:ANONYMOUS,,344.0,170.0,Found,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,Windows
47945,3097818,-5.0,106285.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,312.0,600.0,,,,,,,,New,NotFound,Windows 10,edge 15.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
85305,3267351,-5.0,133718.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,266.0,325.0,,,,,,,,New,NotFound,,chrome 64.0,,,,F,F,T,F,desktop,Windows
61975,3139499,0.0,144898.0,,,5.0,-19.0,,,,,100.0,NotFound,,,New,NotFound,121.0,,410.0,142.0,,,,,,,,New,NotFound,,samsung browser 6.2,,,,F,F,T,T,mobile,SAMSUNG SM-G930F Build/NRD90M
107855,3391788,-20.0,554638.0,,,0.0,-5.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,,153.0,563.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
141503,3562427,-10.0,127414.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,566.0,,,,,,,,Found,Found,,firefox 60.0,,,,F,F,T,F,desktop,Windows
88172,3282462,-5.0,176895.0,1.0,0.0,3.0,-6.0,,,1.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,,312.0,214.0,,,,,,,,Found,Found,Linux,chrome generic,24.0,640x360,match_status:2,T,F,T,T,desktop,Windows
32808,3071201,-5.0,126600.0,,,0.0,-10.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,15.0,215.0,489.0,,,,,,,,New,NotFound,Mac OS X 10_13_1,safari generic,24.0,2880x1800,match_status:2,T,F,F,F,desktop,MacOS
94961,3327279,-5.0,254905.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,-480.0,Found,Found,166.0,,529.0,222.0,,,,,,,,Found,Found,Mac OS X 10_13_3,safari generic,24.0,1920x1080,match_status:2,T,F,T,F,desktop,MacOS
90487,3295418,-5.0,112666.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,-480.0,Found,Found,166.0,,215.0,222.0,,,,,,,,Found,Found,Mac OS X 10_10_5,safari generic,24.0,2880x1800,match_status:2,T,F,T,F,desktop,MacOS
62583,3142414,0.0,263649.0,0.0,0.0,0.0,-6.0,,,0.0,0.0,100.0,NotFound,43.0,,Found,Found,225.0,,153.0,595.0,,,,,,,,Found,Found,,chrome 62.0 for android,,,,F,F,T,T,mobile,4047G Build/NRD90M
39719,3083664,0.0,219119.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,43.0,,Found,Found,225.0,,266.0,305.0,,,,,,,,Found,Found,,chrome 62.0 for android,,,,F,F,T,T,mobile,Hisense F23 Build/NRD90M
60278,3130572,-10.0,287354.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,427.0,595.0,,,,,,,,New,NotFound,,edge 15.0,,,,F,F,T,T,desktop,Windows
39697,3083623,-5.0,496342.0,,,1.0,0.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,,529.0,161.0,,,,,,,,New,NotFound,iOS 11.2.1,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,T,F,mobile,iOS Device
131841,3522492,-5.0,72903.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,325.0,,,,,,,,Found,Found,,opera 53.0,,,,F,F,T,F,desktop,Windows
130778,3518327,-5.0,48255.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-300.0,New,NotFound,166.0,,215.0,484.0,,,,,,,,New,NotFound,Mac OS X 10_13_3,safari 11.0,24.0,3840x2160,match_status:2,T,F,T,F,desktop,MacOS
101609,3362923,-20.0,467044.0,,,7.0,-10.0,,,,,100.0,NotFound,33.0,,Unknown,,225.0,15.0,417.0,507.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
94369,3322974,-20.0,81958.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,266.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,F,desktop,
109221,3396983,-5.0,358778.0,,,0.0,-15.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,15.0,271.0,507.0,,,,,,,,New,NotFound,,chrome 62.0,,,,F,F,T,F,desktop,Windows
132365,3524218,-5.0,34354.0,0.0,0.0,0.0,-12.0,,,0.0,0.0,100.0,NotFound,64.0,-300.0,Found,Found,166.0,15.0,352.0,277.0,,,,,,,,Found,Found,iOS 11.3.0,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,T,mobile,iOS Device
64585,3152766,-20.0,147975.0,,,-1.0,-21.0,,,,,100.0,NotFound,49.0,,Unknown,,225.0,15.0,417.0,507.0,,,,,,,,New,NotFound,,mobile safari 10.0,,,,F,F,F,F,mobile,
5275,3008136,-5.0,16116.0,0.0,0.0,12.0,-17.0,,,0.0,0.0,100.0,NotFound,52.0,-480.0,Found,Found,166.0,,197.0,368.0,,,,,,,,Found,Found,Windows 10,firefox 57.0,24.0,1366x768,,T,F,T,T,desktop,Windows
39624,3083485,-5.0,83330.0,,,0.0,-1.0,,,,,100.0,NotFound,49.0,-480.0,New,NotFound,166.0,,548.0,222.0,,,,,,,,New,NotFound,Mac OS X 10_10_5,safari generic,24.0,1920x1080,match_status:2,T,F,F,F,desktop,MacOS
23496,3053059,-5.0,89621.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,529.0,600.0,,,,,,,,Found,Found,Windows 10,chrome 63.0,24.0,1366x768,match_status:2,T,F,T,F,desktop,Windows
15036,3033581,-5.0,68123.0,0.0,0.0,6.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,15.0,410.0,278.0,,,,,,,,Found,Found,Windows 10,chrome 62.0,24.0,3440x1440,match_status:2,T,F,T,F,desktop,Windows
67332,3170016,-5.0,145898.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,427.0,507.0,,,,,,,,New,NotFound,,chrome 63.0,,,,F,F,T,F,desktop,Windows
125636,3489594,-5.0,145252.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,421.0,533.0,,,,,,,,New,NotFound,Windows 10,chrome generic,24.0,1920x1080,match_status:2,T,F,T,F,desktop,Windows
19115,3043438,-5.0,97715.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,254.0,507.0,,,,,,,,Found,Found,,chrome 63.0,,,,F,F,T,T,desktop,Windows
3507,3002140,-5.0,64198.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-480.0,New,NotFound,166.0,,341.0,394.0,,,,,,,,New,NotFound,Windows 10,chrome 62.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
100864,3359637,-10.0,713306.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,,153.0,325.0,,,,,,,,Found,Found,,chrome generic for android,,,,F,F,T,F,mobile,SM-J730GM Build/NRD90M
65749,3160532,-5.0,42537.0,,,23.0,-30.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,15.0,122.0,597.0,,,,,,,,New,NotFound,iOS 11.2.1,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,F,F,mobile,iOS Device
122824,3473474,-20.0,338149.0,,,1.0,-4.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,,266.0,563.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
11020,3023988,-10.0,1622.0,0.0,0.0,2.0,0.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,,633.0,533.0,,,,,,,,Found,Found,Windows 10,edge 15.0,24.0,,match_status:2,T,F,T,T,desktop,Windows
68995,3180951,-5.0,25191.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,15.0,100.0,533.0,,,,,,,,Found,Found,Windows 10,chrome 63.0,24.0,1366x768,match_status:2,T,F,T,T,desktop,Windows
5382,3008468,-100.0,16725.0,0.0,0.0,0.0,0.0,22.0,-38.0,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,100.0,533.0,228.0,14.0,IP_PROXY:HIDDEN,15.0,426.0,182.0,Found,Found,Found,Windows 10,chrome 62.0,24.0,1600x900,match_status:2,T,F,T,T,desktop,Windows
88933,3286289,-100.0,393952.0,,,-3.0,-32.0,,,,,100.0,NotFound,33.0,,Unknown,,225.0,15.0,567.0,507.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
128398,3506597,-5.0,50682.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,-480.0,New,NotFound,166.0,,312.0,222.0,,,,,,,,New,NotFound,iOS 10.2.0,mobile safari generic,32.0,2208x1242,match_status:1,T,F,F,T,mobile,iOS Device
13136,3029023,-40.0,25631.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,18.0,-360.0,Found,Found,166.0,,410.0,214.0,,,,,,,,Found,Found,Windows 10,ie 11.0 for desktop,24.0,1920x1080,match_status:2,T,T,T,T,desktop,Trident/7.0
36409,3077751,-25.0,242835.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,,Unknown,,225.0,,266.0,305.0,,,,,,,,New,NotFound,,mobile safari 11.0,,,,F,F,F,T,mobile,
91695,3302993,-45.0,440049.0,0.0,0.0,0.0,-5.0,,,0.0,0.0,100.0,NotFound,33.0,,Found,Found,225.0,20.0,484.0,507.0,,,,,,,,Found,Found,,chrome 64.0 for android,,,,F,F,T,F,mobile,HUAWEI VNS-L53 Build/HUAWEIVNS-L53
130614,3517542,-5.0,140362.0,,,0.0,-5.0,,,0.0,0.0,95.16000366210938,NotFound,52.0,,New,NotFound,166.0,13.0,216.0,214.0,,,,,,,,Found,Found,,ie 11.0 for desktop,,,,F,F,T,T,desktop,rv:11.0
113685,3422403,-45.0,56854.0,0.0,0.0,5.0,-4.0,,,0.0,0.0,100.0,NotFound,64.0,-360.0,Found,Found,166.0,13.0,542.0,333.0,,,,,,,,Found,Found,Android 7.1.1,chrome 65.0 for android,24.0,2220x1081,match_status:2,T,F,T,F,mobile,SM-N950U Build/NMF26X
68760,3179798,-15.0,229238.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,,New,NotFound,225.0,,427.0,315.0,,,,,,,,New,NotFound,,chrome,,,,F,F,T,F,mobile,SM-T530 Build/LRX22G
129465,3512383,-5.0,240861.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,64.0,-480.0,Found,Found,166.0,,352.0,222.0,,,,,,,,Found,Found,Mac OS X 10.9,firefox 59.0,24.0,1680x1050,match_status:2,T,F,T,F,desktop,rv:59.0
13225,3029217,-5.0,40166.0,3.0,0.0,3.0,0.0,,,3.0,0.0,100.0,NotFound,49.0,-300.0,Found,Found,166.0,,633.0,600.0,,,,,,,,Found,Found,iOS 9.3.5,mobile safari 9.0,32.0,1024x768,match_status:1,T,F,F,T,mobile,iOS Device
16210,3036476,-35.0,165624.0,,,0.0,0.0,,,0.0,0.0,100.0,Found,62.0,-420.0,Unknown,,166.0,,341.0,225.0,,,,,,,,Found,Found,Windows 10,chrome 63.0,24.0,1920x1080,match_status:2,T,F,F,F,desktop,Windows
103269,3372265,-20.0,197732.0,,,0.0,0.0,,,,,100.0,NotFound,33.0,,New,NotFound,225.0,,266.0,325.0,,,,,,,,New,NotFound,,chrome 64.0 for android,,,,F,F,T,F,mobile,SM-G531H Build/LMY48B
12399,3027342,0.0,18640.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,,-300.0,Found,Found,166.0,,529.0,549.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,1680x1050,match_status:2,T,T,T,T,desktop,Trident/7.0
3600,3002489,0.0,114655.0,,,10.0,-38.0,,,,,100.0,NotFound,,-300.0,New,NotFound,166.0,15.0,321.0,600.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,2208x1242,match_status:1,T,F,T,T,mobile,iOS Device
29871,3065669,0.0,174709.0,,,0.0,0.0,,,,,100.0,NotFound,,,New,NotFound,225.0,,266.0,320.0,,,,,,,,New,NotFound,,chrome 63.0 for android,,,,F,F,T,T,mobile,SM-J700M Build/MMB29K
102528,3367783,0.0,31450.0,0.0,0.0,0.0,-1.0,,,0.0,0.0,100.0,Found,,-300.0,Found,Found,166.0,13.0,100.0,535.0,,,,,,,,Found,Found,Mac OS X 10_10_5,safari generic,24.0,1920x1200,match_status:2,T,F,T,T,desktop,MacOS
107937,3391931,-20.0,210346.0,,,-5.0,-10.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,15.0,417.0,563.0,,,,,,,,New,NotFound,,android webview 4.0,,,,F,F,F,F,mobile,
55698,3112979,-5.0,70152.0,0.0,0.0,17.0,-100.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,12.0,337.0,535.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Trident/7.0
